year,id,country,CO2_emissions_transport_cap,gas_cons_capita,diesel_cons_capita,real_gdp_PPP_cap,urban_pop,vehicles_1000cap,share,fuel_cons_capita,gas_share
1984,3,Belgium,1.68269247343616,262.699368425667,218.459536585732,20022.2536241976,95.835,330.621715750557,1.20250812819322,481.158905011399,54.5972163644032
1985,3,Belgium,1.72372430818723,253.694650238154,242.536548868224,19816.9334314356,95.93,334.793759740515,1.04600585529067,496.231199106378,51.1242845461978
1986,3,Belgium,1.8454060855065,275.811074686698,270.031210253926,20815.159431095,96.023,338.294451238884,1.02140443109275,545.842284940624,50.5294445476499
1987,3,Belgium,1.90276740211189,287.429862351794,282.364126321625,21556.4254078853,96.115,349.849861715538,1.01794043774668,569.793988673419,50.4445234708393
1988,3,Belgium,1.96227564210454,296.313831695359,324.793893228451,23172.1210777114,96.204,360.282877706212,0.91231343283582,621.10772492381,47.7073170731707
1989,3,Belgium,2.11316436333445,289.503694870149,347.666063877778,24353.2419951202,96.292,371.122202659228,0.83270622286541,637.169758747927,45.4358812381553
1990,3,Belgium,2.03680867602914,273.59248604874,349.038598813189,25249.4639730319,96.377,0,0.783845932739293,622.631084861929,43.9413470834676
1991,3,Belgium,2.06081416763746,273.677228395342,353.441446167249,25668.3887459388,96.461,0,0.774321266968327,627.118674562591,43.6404207841888
1992,3,Belgium,2.19171261458736,288.994956575098,359.377124779919,26413.3524037776,96.542,0,0.804155124653739,648.372081355017,44.5723936741901
1993,3,Belgium,2.21013970151293,281.521844220944,380.585008143706,26389.6354019214,96.622,0,0.739708181344452,662.10685236465,42.5190954021268
1994,3,Belgium,2.2696284337474,280.655537786526,393.352724498975,27282.5658729057,96.7,0,0.713495853229453,674.008262285501,41.6397770607216
1995,3,Belgium,2.26626087357351,279.476454675933,394.601418532909,28083.8002490412,96.777,0,0.708250000000001,674.077873208842,41.4605590516611
1996,3,Belgium,2.33153357091744,269.675877950546,415.3934023634,28206.5901940391,96.851,0,0.64920597297938,685.069280313946,39.3647599885025
1997,3,Belgium,2.3508763123507,248.987230932956,441.399848446826,29944.3007100649,96.924,0,0.564085447263018,690.387079379782,36.0648740930431
1998,3,Belgium,2.41261528647522,246.201904379571,461.824591336202,31052.7404183059,96.996,0,0.533106960950764,708.026495715773,34.7729789590255
1999,3,Belgium,2.42102098728016,234.099541589289,481.497971088413,32356.7009800226,97.065,0,0.486190089358245,715.597512677702,32.7138562448756
2000,3,Belgium,2.41346697630545,218.997683209365,519.253749542739,34262.0138768141,97.129,0,0.421754649633666,738.251432752104,29.6643763213531
2001,3,Belgium,2.4508545228153,212.510098118226,547.510005764798,34275.0200219608,97.186,0,0.388139204545455,760.020103883024,27.9611153747762
2002,3,Belgium,2.43648545538686,201.978459824723,559.28774284958,34714.93422687,97.241,0,0.361135144488666,761.266202674303,26.5319094838546
2003,3,Belgium,2.51878366017564,202.869411947592,572.178479208006,34559.1962424226,97.296,0,0.354556173151424,775.047891155598,26.1750808256653
2004,3,Belgium,2.57940634129811,185.392438464248,619.702053624283,35311.2505280046,97.35,0,0.299163827810467,805.094492088531,23.0274135876043
2005,3,Belgium,2.49618253780312,168.151961275042,609.240704188349,36384.0790533818,97.403,0,0.276002506265663,777.392665463391,21.630247974466
2006,3,Belgium,2.46537766486121,138.889441918521,621.068077821319,37592.6700219899,97.454,0,0.223629980155701,759.95751973984,18.2759481037924
2007,3,Belgium,2.45524614812105,131.191356804728,619.629765568386,38936.9468185019,97.505,0,0.211725394896719,750.821122373114,17.4730508899473
2008,3,Belgium,2.55735839100672,134.360749555578,673.204311532812,39678.7488027027,97.555,0,0.199583911234397,807.56506108839,16.6377615909354
2009,3,Belgium,2.54309334186514,124.670112785698,656.694724851857,39205.8146567449,97.603,0,0.18984485190409,781.364837637555,15.9554291133238
2010,3,Belgium,2.56145203762308,110.894673685784,661.247265635874,41439.0350440783,97.651,0,0.167705303974519,772.141939321658,14.3619544592031
2011,3,Belgium,2.57258254947295,110.972882789464,649.996958655088,42336.6899645742,97.698,0,0.170728310820221,760.969841444552,14.5830855239682
1960,4,Canada,2.92167950434307,657.043614194398,21.8884249820858,13556.8834042023,69.061,229.180743613452,30.0178571428572,678.932039176484,96.776050662061
1961,4,Canada,2.83440221631802,659.624541623338,21.7831536314378,13760.7606909276,69.668,236.752230310328,30.2814070351759,681.407695254776,96.8032128514056
1962,4,Canada,2.91013175524707,682.658214247341,22.7248307725368,14355.4424160492,70.494,243.440421188353,30.0401891252955,705.383045019878,96.7783701447068
1963,4,Canada,2.88881724842001,711.664205863742,23.6237080784645,14787.1146902348,71.307,252.525838430711,30.125,735.287913942207,96.7871485943775
1964,4,Canada,3.1617560984795,735.937904269082,23.9068564036223,15527.4329409363,72.107,260.69340232859,30.7835497835497,759.844760672704,96.8537183328793
1965,4,Canada,3.23799348771719,765.779042585629,27.4418131923976,16293.3840225928,72.892,268.289460311007,27.9055555555556,793.220855778027,96.5404574284067
1966,4,Canada,3.33220239279338,796.139265762171,32.2725458898643,17049.4895787778,73.642,273.37889066241,24.6692426584235,828.411811652035,96.1042870905588
1967,4,Canada,3.534394060628,822.163433274544,35.9592396629434,17218.1396449122,74.155,287.365275328238,22.8637602179836,858.122672937487,95.8095455583466
1968,4,Canada,3.66766237632418,863.67142306209,39.2402622445044,17734.4000012122,74.662,296.934053220208,22.009828009828,902.911685306594,95.6540309663641
1969,4,Canada,3.65371669633035,884.63001712003,45.8911926954537,18379.8332015753,75.161,305.939699448355,19.2766839378238,930.521209815484,95.0682271170849
1970,4,Canada,3.92744357189977,920.840367660852,49.4278746951791,18531.0190858106,75.654,309.613580941662,18.629981024668,970.268242356031,94.9057515708072
1971,4,Canada,3.97666245994855,939.085127718026,52.0661651467612,19169.2815914291,76.09,317.238404898053,18.036379769299,991.151292864787,94.746900344924
1972,4,Canada,4.31979677579309,988.740785912067,56.9710385702115,19993.8855376446,75.971,333.384897056111,17.3551476456505,1045.71182448228,94.5519370407409
1973,4,Canada,4.43999801665418,1052.55355886039,73.4038200742729,21386.3832740488,75.851,349.732259927706,14.3392204628502,1125.95737893466,93.4807638861317
